player_id,name,team_name,queen_snatcher,precision_player,best_striker,comeback_king,total_awards
1,Sandeep Bhargava,Board Blaster (Aakash & Sandeep),0,0,0,0,0
2,Samir N Sahare,Royal Strikers (Samir & Nitesh),0,0,0,0,0
3,Sachin Mishra,Carrom Warriors (Pramod  &  Sachin),0,0,0,0,0
4,Pramod Mishra,Carrom Warriors (Pramod  &  Sachin),0,0,0,0,0
5,Nitesh Gokhe,Royal Strikers (Samir & Nitesh),0,0,0,0,0
6,Shailendra Malviya,Pocket Legends (Aklesh & Shailendra),0,0,0,0,0
7,Bharat Chandel,Invincibles (Lokendra & Bharat),0,0,0,0,0
8,Shri Pachori,Mavericks (Shri & Aashish),0,0,0,0,0
9,Praveen Deshmukh,Infinity (Praveen & Ved),0,0,0,0,0
10,Aakash Rajput,Board Blaster (Aakash & Sandeep),0,0,0,0,0
11,Aayush Duby,Carrom Crushers (Aayush & Aishwarya),0,0,0,0,0
12,Ved Prakash Vishwakarma,Infinity (Praveen & Ved),0,0,0,0,0
13,Lokendra Meena,Invincibles (Lokendra & Bharat),0,0,0,0,0
14,Hareesh Soni,Alpha Wolves - (Kamlesh & Hareesh),0,0,0,0,0
15,Prateek Kumar,Thunders - (Prateek & Vivek),0,0,0,0,0
16,Kamlesh Dhamwani,Alpha Wolves - (Kamlesh & Hareesh),0,0,0,0,0
17,Aishwarya Jain,Carrom Crushers (Aayush & Aishwarya),0,0,0,0,0
18,Aklesh Upadhyay,Pocket Legends (Aklesh & Shailendra),0,0,0,0,0
19,Vivek Sharma,Thunders - (Prateek & Vivek),0,0,0,0,0
20,Aashish Sharma,Mavericks (Shri & Aashish),0,0,0,0,0
